temperature_fz,humidity_fz,pressure_fz,lat,long,time_gps,numSats_gps,temperature_pws,humidity_pws,time_pws,protocol_pws,id_pws
23.24,81.143555,1008.390015,28.058798,-82.416466,2023-11-17 15:15:17,8,23.299999,79.0,1700216116.0, Acurite 592TXR,1214.0
23.190001,81.103516,1008.429993,28.05879,-82.416466,2023-11-17 15:15:33,8,23.299999,79.0,1700216133.0, Acurite 592TXR,1214.0
23.190001,81.101562,1008.409973,28.058764,-82.416435,2023-11-17 15:15:49,8,23.200001,80.0,1700216149.0, Acurite 592TXR,1214.0
23.190001,81.001953,1008.390015,28.05872,-82.416428,2023-11-17 15:16:05,6,23.200001,80.0,1700216165.0, Acurite 592TXR,1214.0
23.27,80.828125,1008.390015,28.058773,-82.416397,2023-11-17 15:16:22,6,23.200001,80.0,1700216181.0, Acurite 592TXR,1214.0
23.370001,80.625,1008.380005,28.058804,-82.416344,2023-11-17 15:16:38,6,23.1,80.0,1700216198.0, Acurite 592TXR,1214.0
23.4,80.397461,1008.400024,28.058773,-82.416351,2023-11-17 15:16:54,6,23.1,80.0,1700216214.0, Acurite 592TXR,1214.0
23.389999,80.285156,1008.400024,28.058767,-82.416382,2023-11-17 15:17:10,7,23.1,80.0,1700216230.0, Acurite 592TXR,1214.0
23.41,80.188477,1008.400024,28.058781,-82.416397,2023-11-17 15:17:27,8,23.1,80.0,1700216246.0, Acurite 592TXR,1214.0
23.389999,80.18457,1008.409973,28.05875,-82.416428,2023-11-17 15:17:43,8,23.0,80.0,1700216263.0, Acurite 592TXR,1214.0
23.32,80.339844,1008.369995,28.05875,-82.416443,2023-11-17 15:17:59,8,23.0,80.0,1700216279.0, Acurite 592TXR,1214.0
23.35,80.200195,1008.390015,28.058764,-82.416473,2023-11-17 15:18:15,6,23.0,80.0,1700216295.0, Acurite 592TXR,1214.0
23.219999,80.397461,1008.390015,28.058775,-82.416435,2023-11-17 15:18:32,8,23.0,80.0,1700216311.0, Acurite 592TXR,1214.0
23.16,80.464844,1008.390015,28.058777,-82.416405,2023-11-17 15:18:48,8,23.0,80.0,1700216328.0, Acurite 592TXR,1214.0
23.200001,80.461914,1008.390015,28.058786,-82.416397,2023-11-17 15:19:04,7,22.799999,81.0,1700216344.0, Acurite 592TXR,1214.0
23.110001,80.65625,1008.380005,28.058802,-82.41642,2023-11-17 15:19:20,8,22.799999,81.0,1700216360.0, Acurite 592TXR,1214.0
23.040001,80.832031,1008.409973,28.058807,-82.416435,2023-11-17 15:19:37,8,22.799999,81.0,1700216376.0, Acurite 592TXR,1214.0
23.1,80.929688,1008.380005,28.058832,-82.416397,2023-11-17 15:19:53,8,22.799999,81.0,1700216393.0, Acurite 592TXR,1214.0
23.200001,80.881836,1008.369995,28.058823,-82.416405,2023-11-17 15:20:09,8,22.700001,81.0,1700216409.0, Acurite 592TXR,1214.0
23.24,80.790039,1008.349976,28.058836,-82.416405,2023-11-17 15:20:25,8,22.700001,81.0,1700216425.0, Acurite 592TXR,1214.0
23.299999,80.668945,1008.349976,28.058764,-82.416389,2023-11-17 15:20:42,8,22.700001,81.0,1700216441.0, Acurite 592TXR,1214.0
23.24,80.501953,1008.359985,28.058733,-82.416344,2023-11-17 15:20:58,7,22.700001,81.0,1700216458.0, Acurite 592TXR,1214.0
23.07,80.758789,1008.400024,28.058699,-82.416359,2023-11-17 15:21:14,8,22.700001,81.0,1700216474.0, Acurite 592TXR,1214.0
23.02,80.882812,1008.429993,28.058714,-82.416389,2023-11-17 15:21:30,8,22.700001,81.0,1700216490.0, Acurite 592TXR,1214.0
22.940001,80.991211,1008.400024,28.058744,-82.416451,2023-11-17 15:21:47,8,22.700001,81.0,1700216506.0, Acurite 592TXR,1214.0
23.0,81.267578,1008.359985,28.058744,-82.416412,2023-11-17 15:22:03,8,22.6,81.0,1700216523.0, Acurite 592TXR,1214.0
23.07,81.169922,1008.359985,,,2023-11-17 15:22:19,0,22.6,81.0,1700216539.0, Acurite 592TXR,1214.0
23.08,81.149414,1008.380005,,,2023-11-17 15:22:35,0,22.6,81.0,1700216555.0, Acurite 592TXR,1214.0
23.219999,80.808594,1008.359985,,,2023-11-17 15:22:52,0,22.5,81.0,1700216571.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 15:23:06,0,22.5,82.0,1700216636.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 15:23:06,0,22.4,82.0,1700216653.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 15:23:06,0,22.4,82.0,1700216669.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 15:23:06,0,22.4,82.0,1700216701.0, Acurite 592TXR,1214.0
,,,,,2023-11-17 15:23:06,0,22.4,82.0,1700216718.0, Acurite 592TXR,1214.0
24.74,75.785156,1006.299988,,,2023-11-17 19:02:14,0,26.799999,60.0,1700229733.0, Acurite 592TXR,1214.0
